gene_name,HH001_A1_SA_S1,HH001_B1_SA_S2,HH001_B3_SA_S3,HH003_A1_SA_S4,HH003_A3_SA_S5,HH003_B3_SA_S6,HH003_D_SA_S7,HH003_K_SA_S8,HH003_R_SA_S9
MAP1LC3B2,18,28.924,142.878,101.026,27.559,24.923,41.838,3,8
PCDHB15,2,1,10.638,78.592,27.64,28,31.833,9.587,6
DYNC1I2P1,1.217,4.323,10.694,22.012,19.627,15.208,10.265,1.449,2.61
AL355922.3,0,0,1,15,1,1,3,0,1
AC078785.1,41.435,54.452,91.109,148.492,45.677,17.677,55.606,10.351,4.034
RNF167,336.001,246,802,703.006,279.001,52.999,178.593,52.001,14
AC008735.3,1,0,5,5.707,0,0,2,0,0
AC055717.2,0,0,3.679,5.922,3.497,2,2.503,0,0
MIR4438,0,0,0,3,0,0,0,1,0
AL133351.2,0,1,1.002,16.298,6,3,7,2,0
MCF2L-AS1,0,0,0,9,4,1,4,0,0
AL139260.2,0,0,0,0,0,0,10.358,0,0
MIR490,0,0,0,0,0,0,0,0,0
SERTAD1,101.191,101.965,267.843,253.622,111.141,20.967,63.113,31.324,6.337
AC025040.1,0,8,243,142,47,18,49,10,1
GNAI2,663.996,440.191,939.542,1742.958,470.16,117.962,490.386,103.002,35.15
AL358876.1,0,2,4,33,4,8,13,11,0
IFT22,147.829,192.642,659.86,760.37,237.511,137.057,208.332,84.001,27.132
LINC01850,0,0,0,13,2,0,5,0,0
ACSF2,49.083,52.492,120.572,195.452,64.214,48.902,75.704,18,14.539
DNTTIP2,917.083,872.219,1363.323,2799.189,893.853,615.05,974.59,312.039,123.77
AC019183.1,0,4,1,24,7,9,6,0,2
SCN7A,48.556,61.7,128.026,442.758,110.119,120.072,180.496,40.131,12.234
AC025917.1,0,1,121.011,106.104,30.852,5,25.262,10,1
AC009014.1,0,0,1,4,7,0,7,0,0
ZC2HC1B,0,7.392,7.513,39.762,5.01,10.041,7.104,5.401,1
BNIP3P9,0,1,2,3,3,1.248,2,0,0
TAF8,789.909,809.206,2021.228,2088.582,789.638,216.178,534.346,132.802,68.98
BX284656.2,0,0,2,7,3,3,1,0,0
AL133399.1,0,0,0,9,0,1,6,1,0
CR769775.2,0,1.5,1.6,0,0,0,5,0,0
LINC00523,0,3,10,49.999,18,18,18,10,3
MDS2,84.397,108.994,185.281,235.695,90.507,26.601,68.377,19.284,2.153
SNN,541,672,899.395,696,424.823,60,234,52,27
