gene_name,HH001_A1_SA_S1,HH001_B1_SA_S2,HH001_B3_SA_S3,HH003_A1_SA_S4,HH003_A3_SA_S5,HH003_B3_SA_S6,HH003_D_SA_S7,HH003_K_SA_S8,HH003_R_SA_S9
MIR759,0,0,0,10,4,6,3,0,0
AC008609.1,47.405,55.096,256.159,345.663,91.822,67.986,110.705,38.178,14.558
SNORA71D,1243,582,627,137,240,512,35,69,17
TIPIN,128.243,122.888,269.832,349.966,156.82,75.067,116.962,43.363,12.578
WARS2P1,0,0,0,9,1,4,9,0,1
FGF23,387,323,3607.722,4332.114,1486.14,713,1220.008,405,44
WDR83,25.262,49.181,89.57,166.686,42.405,22.541,49.658,12.673,7.032
AC138761.5,0,7.143,18.583,65.337,36.48,17.826,37.281,18.259,7.617
AF186996.4,0,0,0,10.925,0,0,1.238,0,0
TRIAP1,25,17,74,74,27,9,23,6,2
CLEC4D,492,223,886,1761,371,70,299,44,19
IGHJ3P,6,11,12,2,1,0,0,1,0
AC139099.1,3,20,51.374,218.765,84.865,88.59,92.229,16.385,5.859
TMEM67,128.127,212.931,576.245,774.561,222.096,160.378,291.639,77.425,19.114
SPATA8,0,2,5,21,3,5,11,2,1
OR2T6,1,15,45,155.128,53,67,59,25,5
DDX42,365.705,261.009,689.888,909.206,304.197,95.285,302.515,46,15
COX5A,54,50.999,169,147,71,24,28,7,5
C3orf18,33.973,41.752,115.144,116.559,30.118,24.713,45.773,22.413,1
MANF,54.999,49,113,76,25,8,34,10,4
PRRG2,5,15,17,38,14,6,13,4,3
AC135776.2,0,1,0,0,0,2,3.206,0,0
AC011816.1,12,10,105,342,70,26,62,12,10
AP000811.1,0,0,14,29,6,0,13,3,0
AC046185.3,80.133,82.463,319.702,235.767,122.56,23.913,85.073,13.997,6.963
EGR1,6,9,28,97,21,33,29,5,3
AC005224.1,10.485,5.096,33.906,57.708,12.268,13.858,17.275,11.347,4.022
UBE2Q2L,2,2,6.108,76.859,40.453,25.373,34.189,22.978,8.587
PSMD13,302.208,213.754,672.257,675.219,203.342,66.155,169.127,55.234,17.878
AC005387.2,0,1,16,9,15,1,5,1,0
MEGF9,4385.161,2042.63,7317.11,12556.96,2401.274,393.733,3384.767,294.516,133.575
AC099681.3,0,0,3,30,8,10,7,4,3
RNA5SP426,0,0,0,1,0,2,3,0,0
LINC01586,5.733,5.116,25.692,144.161,52.008,24.985,62.65,8.543,7.479
AC102953.1,4,0,1,3,1,2,5,1,0
AL035563.1,4,12,36,61,23,14,20,1,0
RNY1P9,0,0,2,9,0,2,0,0,1
LINC02041,0,0,0,11,1,0,1,3,0
SLC30A9,423.769,371.981,960.417,1106.133,372.018,174.432,331.039,61.345,33.545
AC003098.1,0,1,0,13.211,3,2,6,0,0
AL672277.1,0,2,4.097,16,2,3,8,2,0
RNU6-1161P,0,0,0,6,0,1,2,0,0
RPL7AP51,0,0,5,19,2,8,4,0,0
PKMP3,2,2,9,25,4,3,5,0,0
AP002364.1,10.478,18.964,48.887,155.485,53.547,43,58.248,4.208,5.288
AF111169.1,5.418,4.175,3.244,7.679,10.102,1,3.259,4.143,0
NOVA1,32.807,74.735,199.125,450.397,106.298,124.185,175.555,63.394,16
APH1A,491.001,487,701.735,419.682,277.222,45,77.061,28,13
RNU1-51P,0.5,1,0,2.047,2.379,0,1.7,0,1
IGLL1,3.005,1,2.284,22,4,0,3,3,1
IL20RB,13.588,31.728,64.884,106.37,36.749,21.672,40.287,7,5.048
MIR1248,0,0,0,0,0,0,0,0,0
CTAGE9,0,0,25.087,107.534,38.481,38.451,41.809,0,5.661
AC242852.1,0,1,0,0,1,0,1,0,0
IGKV2OR2-7D,1,0,3,13,2,2,9,0,0
AC012085.1,17.887,0,0,0,0,1.931,0,8.425,0
RNA5SP431,0,0,1.005,7.087,1.009,0,1.007,0,0
SP2,85.764,81.474,188.817,196.435,71.941,22,84.421,15,8
AC084878.1,0,1,2,10,3,2,4,4,0
AC006390.1,0,3,2,5,0,5,1,3,1
LDHC,7,25,76.175,98.318,44.32,24.255,30.24,9,4.107
AP001888.1,0,0,2.001,25,15.03,15,6,6,2
MIR499A,0,0,0,3,1,0,1,0,0
AL352977.2,5.487,8.962,9.308,31.213,10.684,4.952,10.521,1.15,1.759
AL034428.1,39.584,31.594,70.348,107.181,29.197,13.126,34.663,6.932,5
EYA2,3,5,25,89,19,19,26,4,3
AC138470.1,13.971,45.807,181.014,270.957,98.221,76.173,114.789,27.335,12.216
LYL1,212.795,152.985,499.58,576.615,200.193,45.372,151.797,53.388,9.228
TMEM27,0,1,5,36,12,10,12,6,0
AC011239.1,0,0,1,7,1,2,1,0,1
MIR583,0,0,1,7,1,3,1,1,0
AC012085.2,2.137,11.335,145.115,303.793,69.703,22.652,70.045,9.188,4
OR5J2,0,0,3,20,4,5,10,2,1
ASB9P1,0,0,71,39,19,1,12,0,0
CHCHD2P1,0,0,0,1,0,0,2,0,0
MIR548AO,0,0,4,1,1,1,0,0,0
AC079866.1,0,0,9,37,14,15,19,9,0
SNORD114-10,0,0,0,2,0,0,0,0,0
AL033381.1,0,1,7,61,30,15,19,7,1
RPL10P17,0,0,15.016,15,9,1,6,0,0
TMEM263,127.078,107.22,285.109,221.634,58.754,70.067,111.265,31.283,15.125
IGHD4OR15-4A,0,0,0,0,0,0,0,0,0
EMC3-AS1,38.903,38.591,235.246,268.788,101.567,56.054,105.971,23.817,8.191
MIR3169,0,1,0,5,5,0,5,0,0
AC133644.1,0,4.643,9.551,40.771,15.065,7.926,16.345,7.257,0
RPS6P12,0,1,4,31,9,6,2,3,0
HSF1,85.643,81.087,101.126,136.652,68.185,7.274,55.703,11.645,1.071
HOXB-AS2,0,4,5,22,7,6,4,4,0
HTATSF1P1,1,0,1,18,5,1,4,2,0
AL356458.1,0,0,4,25,4,4,7,2,0
SLC17A1,0,1,8,40,20,24,32,21,3
HNRNPA1P38,0,3,5,26.335,8.078,14.336,12.521,9.081,7
GAS2L1P1,1,1,1,9.194,3,0,3,0,2
GAGE12F,0,4.41,12.433,99.159,16.874,24.819,39.225,18.142,8.751
MTND1P36,0,3,6.316,45,7,6,16,1,1
MIR1296,2,4,19,6,1,0,3,0,0
AC245140.1,0,0,1,2,0,1,2,0,0
ISM1,0,9,15,70,25,17,20,12,2
RNU6-701P,0,1,1,9,0,0,2,2,0
AC006967.3,53.844,37.842,169.479,192.441,60.687,7.001,54.326,8.131,1.008
AC069023.1,0,0,0,6,1,2,0,0,0
AC107031.1,0,0,15,8,4,4,2,0,0
AC104984.5,0,0,0,0,0,0,0,0,0
GBA,302.687,232.324,769.339,545.225,181.003,19.483,173.765,24.075,3.114
VHLL,3,2,2,15,5,3,6,3,0
ANKRD2,3,3,10,25,5,3,9,1,1
SIX2,1,1,8,58,14,18,25,6,0
AC048344.3,0,1,2,2,0,0,5,0,0
KIAA2012,111.515,124.767,273.207,545.394,167.047,137.29,215.722,64.422,31.438
STAT5B,3199.595,3586.626,5786.085,4275.196,2060.288,232.643,1053.336,231.786,73.953
TIMM22,57,71,203.17,202.428,79.871,14,62.49,12,4
TMTC3,138,90,275.605,469.21,124.145,71,148,27,20
TGFBR1,1472,1025.001,2697.814,4063,944.46,147.001,637,113.999,62
AC007923.1,3,3.702,21.063,132.113,28.359,21.684,35.325,9.676,5.225
AL445305.1,0,1.04,0,31.815,4.667,7.157,9.716,3.068,2.733
AC108451.2,0,2,4.771,21.26,4,2,5,4,0
MIR4678,0,0,0,3,0,0,1,1,0
BRI3BP,512.891,570.003,1348.697,1264.418,555.456,182.364,394.379,106.776,31.166
SAPCD2P3,0,0,1,2.383,1,0,0,1,0
PNPLA1,80.647,68.812,166.696,233.222,75.611,15.495,80.115,16.798,2
MTCO2P34,0,0,1,23,2,1,4,1,0
ZNF385A,91.971,87.62,129.709,307.299,115.548,39.58,106.708,26.991,7
MIR6869,0,0,0,0,0,0,0,0,0
ARID2,451.664,324.389,1215.113,1600.35,416.877,141.872,477.357,93.916,35.637
ZNF675,318.995,393.833,908.731,1249.97,444.546,190.108,457.937,94.44,44.3
RNU6-673P,0,0,5,9,4,0,4,0,0
RALYL,3,5,30,149.002,37.999,35,54,11,5
METTL22,282.03,262.315,850.289,805.392,281.911,106.504,277.132,64.897,37.378
AC138393.3,102.95,86.361,241.739,189.528,52.115,23.663,38.473,6.689,0
CYSRT1,0,1.001,3.126,25.551,2.033,3.209,7.034,3.007,1.005
AC016397.1,0,0,0,2,2,1,0,1,0
CH25H,0,1,6,37,7,10,11,0,1
AC022893.1,168.83,249.428,630.431,794.269,245.641,80.369,263.854,63.064,21.388
CPT1B,45.419,58.029,48.177,180.469,58.619,17.001,48.491,13,6
FAM219A,110,72,94,158.001,62,15,55,11,11
KRTAP5-11,3.382,6.555,28.781,98.804,25.656,7.37,28.664,6.703,6
PRMT3,233.461,150.625,525.457,709.193,267.117,82,205.842,44,26
AC093909.5,0,2,17,47,9,23,15,5,4
AC244394.2,1,0,1.34,40.713,4.366,13.179,18.277,6.293,0
CYTH2,287.818,297.862,697.123,828.706,271.471,95.079,285.24,87.162,36.105
TAS1R2,0,2,0,44.063,5.824,3.504,6.509,5,0
AC090518.1,2,12,16,91,32,44,34,15,5
FP475955.3,0,0,2.289,14.366,0,0,14.331,0,4.071
AC093616.1,37.23,20.325,127.753,123.374,38.157,6.432,32.499,0,0
ZEB2_AS1_3,0,0,0,3.687,0,0,0,0,0
DEFB108C,0,0,0,22.544,2.061,5,6.202,1,0
AC020931.1,0,1,14.153,64.24,16.845,3,20.432,1,1
AF121897.1,1,5,7,57,28,18,25,9,5
VAV3,428.063,254.522,750.982,1154.536,310.915,96.029,405.003,42.07,17.999
AC092757.1,0,1,56,41,7,1,14,3,0
PARD3-AS1,0,0,2,6,2,0,8,1,0
AP000295.1,47.877,0,0,294.54,35.527,0,79.205,0,0
AC008676.2,1,19,161,313,50,20,93,7,5
TNRC18P2,4.149,5.49,12.444,50.208,17.589,11.085,32.583,6.751,0
PNPLA4,67.125,143.748,457.508,929.624,357.349,226.981,323.885,90.197,56.641
MEX3C,202,136,333,435,130,107,175,50,22
KLRC2,9.349,7.437,28.678,73.154,27.424,19.877,25.084,5.335,2
ZSWIM8-AS1,2.452,9.225,72.231,85.394,0,0,42.785,0,0
AC034236.3,0,0,1,3,0,0,4,2,0
FMO11P,2,3,4,31,21,23,14,5,0
AC018685.1,0,0,1,8,4,0,2,0,1
CFAP126,0,1,0,1.68,0,5,0,1,0
RNA5-8SP2,40,13,30,8,5,9,3,2,2
LAMB1,13.62,30.486,156.581,372.077,106.313,56.103,127.604,21.999,7.654
AC104772.2,0,5,0,14,5,11,10,0,3
MIR892C,0,0,0,1,0,0,0,0,2
WFDC5,0,1,10,18,3,2,8,0,0
AC009088.3,2,3,1,0,0,2,0,3,0
RNPC3,656.018,461.046,1148.897,1428.335,350.083,111.558,365.154,51.279,23
LINC02337,3.466,5.16,16.894,36.644,5.387,13,9.824,5.431,2
DEFB130C,0,1,1,9.302,4.47,2.345,9,0,0
IFT122,81.125,77.127,226.541,391.775,152.103,62.749,122.98,25.446,9
AC097110.1,0,9.084,86.828,116.588,41.169,17.422,56.793,10.843,6.073
CDK3,6.198,4.49,1.52,0,3.527,3,0,0,3.288
AP001350.1,3,2,77.224,162.601,35.145,18,54.131,2,0
AC004980.1,142.267,116.533,259.451,227.475,106.033,22.602,70.817,14.89,3.471
CTAGE1,0,15.864,26.818,240.189,86.028,65.9,70.877,31.332,8.213
AP000472.1,1,6.863,25.718,88.479,34.469,42.387,14.879,18.728,4
MTCO2P15,1,1,3,21,5,4,16,2,0
H1FNT,0,4,8,24,13,10,13,4,0
KRT18P34,1,4,51.383,18.744,12.041,8.165,12.429,0,0
FTLP10,22.15,31.223,65.02,78.971,37.41,4.166,26.701,6.294,3.01
IRF1,1787.254,1699.164,3950.441,6520.812,1512.586,256.641,1090.937,218.34,59.027
AC073539.2,0,0,0,0,2,0,0,0,0
AL031726.1,1,0,2,20,1,6,10,1,1
UBE2T,3,8,7,69,14,21,24,11,1
TSEN15P1,0,0,0,6.675,3.815,2.391,4.352,1.399,0
NPFF,0,0,0,0,0,0,0,0,0
KIAA0141,258,262,864.999,515,173.999,61.001,260,36.001,9
ELOVL5,1237.999,1051,3880,4872.001,1192.999,154.001,1078.999,167.001,69.999
AC087501.5,163.407,183.088,426.04,419.229,145.438,44.768,133.929,34.019,12.561
PNMA8B,0,7,16,83.631,18.772,17,32.699,15,5
USH2A,4,24,61.441,460.483,133.279,143,184,36,16
PCDHA6,0,3.465,12.864,47.985,10.014,17.453,27.967,7,1
RNU6-303P,0,0,0,2,0,0,4,0,0
B4GALT4,227.507,238.026,878.439,1196.381,371.755,265.571,412.174,100.147,34.594
Z83846.1,0,0,0,7,0,0,4,0,0
AC104996.2,1.071,4.17,3.73,10.395,9.826,7.72,9.17,4.097,0
TSPO,475.999,398,375,268.001,204,65,56,31,3
KLHL5,377.398,283.459,531.689,1538.527,338.438,125.871,300.541,83.292,29.129
AC007952.5,1.094,7.487,22.705,113.691,40,20,42.792,9.478,3
OSR2,0,3,3,43,13,20,11,8,5
AC017104.2,0,0,1,3,1,1,2,1,0
AC062017.1,64,36,43,22,6,4,8,4,0
OR3A2,5.148,6.628,25.426,100.684,29.591,13.379,37.541,9.953,2.183
AC109479.1,0,0,0,6.627,1.071,2,2,0,0
C10orf91,0,4,20,63,14,17,23,5,2
LINC01664,5,2,9,18,5,2,17,4,0
AC104417.2,1,0,2,13,4,8,8,1,3
RNU4-90P,0,0,90,18,7,0,9,2,0
AC011897.1,0,1,1,9,2,0,9,0,0
HSPE1-MOB4,38.514,13.012,47.607,0,14.18,2.368,2.486,3.174,0
AC007256.1,20.607,8.07,60.197,126.167,24.249,15.676,38.098,4.17,1.016
DLEU2,1472.169,1040.488,3073.085,3273.863,1164.303,182.015,579.529,169.47,96.497
DUXAP7,6.37,18.839,85.907,75.872,41.484,22.767,35.171,11.43,4.605
RPL35AP28,0,0,0,5,1,1,4,2,1
AL513348.1,58.665,58.849,143.288,118.857,60.513,22.092,62.386,12.477,6.927
AC007192.1,0,0,105.45,41.68,46.297,0,22.728,0,0
SQSTM1P1,0,0,2,16,2,4,3,5,0
RN7SL106P,0.5,0.667,0,10.925,2.864,6.753,3.76,1.18,0.333
AC132807.1,0,2,1,17,3,1,12,1,0
SEC22B,1286.518,1021.504,2855.167,3650.493,1044.933,384.592,1098.942,173.936,77.295
NDUFA4P2,0,0,0,4,0,2.363,1,0,0
AC097173.2,0,0,2,12,5,4,3,0,0
IFNGR1,1343.999,540,1633.999,3139,605.999,142.999,687,84,33
PA2G4P1,0,1,2.005,22.073,7,10,0,6,6
RNU4-61P,0,0,1,2,7,0,2,1,0
AL118558.1,2,2,15.389,29.333,13.106,4,7.163,4,1
CXCR6,20,20,75.01,129.448,41.083,14.002,63.004,9,1
GOLGA8CP,0,11.383,18.839,271.588,59.225,99.205,58.429,30.831,0
GAGE2A,0,2.853,2.805,30.3,6.363,4.051,3.778,5.481,0
SPDYE22P,0,1,4,18,3,6.216,12,5,3
SPRED2,26,19,97,136,60.001,34,62.001,10,6
HGD,0,4,19,88.999,24.999,18.001,20,7,3
AC046130.2,0,3,4,65,17,15,18,8,9
NCAPH2,84.264,75.76,133.07,179.316,77.16,30.193,63.005,20.31,8.862
MAOB,2,6,33,121.999,25,31,36,17,3
AC012442.2,1.226,5.954,12.43,33.933,12.166,8.827,12.692,3,3
LRRC39,3,4,37.87,90.473,9.584,18,32.115,5,0
NUDT4,764.948,542.873,9030.017,3509.276,1048.483,266.049,727.092,138.227,178.327
TTC19,215.94,156.024,612.535,659.819,236.885,92.675,256.062,44.114,12.042
SEM1,141.072,160.898,500.135,734.717,259.705,221.4,314.903,98.942,35.473
EI24P4,1,2,0,33,7,12,7,2,0
AC010332.1,0,0,5,2,0,0,1,0,0
AC002563.1,0,1,3,2,1,0,1,0,0
OR2B2,1,1,39.598,55,14,6,19,1,0
ARMC2,65,56,188,229,55.001,40,107,11,9
AC141257.4,0,0,0,0,0,0,0,0,0
AL591926.1,0,0,3,19,2,1,5,0,1
AL591222.2,0,0,3,10,9,4,7,0,0
OR5F2P,0,1,7,29.838,5,6,3,2,0
GAPDHP19,0,1,0,8,3,1,1,0,0
RN7SKP28,3.326,2.41,2.455,6.285,3.479,1.085,0,0,1
CD3G,203.083,289.089,712.523,528.724,152.513,56.321,212.944,21.685,12.89
AC107884.1,158.418,191.179,440.052,710.612,212.216,82.612,217.283,64.015,26.792
AC022098.1,58.926,58.714,399.098,1011.359,275.37,180.466,381.655,108.744,24.783
ZNRF4,1,0,3,12,3,0,7,0,0
MRPL45P1,0,0,2,17,3,4,10,6,2
AC243960.4,0,0,0,2,0,0,0,0,0
TMEM132D,5,2,58,158.664,44,30,54,13,2
AL603910.1,2.164,2.12,15.709,27.192,7.936,2.068,13.389,0,0
FAM87A,4,11.436,45.488,158.497,42.133,43.942,52.884,11.072,4
AC113398.1,0,0,0,6.665,0,1,2.096,0,0
AC011999.1,2,1,6,12,2,1,7,0,3
RNU6-1137P,0,0,0,5,0,0,0,0,0
BX119904.3,0,0,2,19,9,4,9,2,0
AC005244.1,4.112,4,19.785,29.193,6,11.618,7,1,2
AL121835.2,3.064,14.077,45.366,201.818,62.997,34.116,66.176,9.391,4.318
TRPM4,267.822,379.864,679.434,988.093,327.649,137.585,316.556,81.438,39.008
AL031727.1,2,4,11.02,28.102,7.113,6.25,14,4,1
AC010900.1,3,5,12.69,24.381,5.473,3,6,3,1
TUSC2,95,85.405,117,130,73,17,34,14,2
ATP10B,530.807,479.756,1287.479,3083.775,841.266,440.022,1113.128,228.639,84.99
CCDC61,28,25,56,67.999,32,6,30,5,3
MRPL42P4,0,0,2,7.567,4,4,10.782,4,0
AP001258.1,71.296,71.387,163.019,197.126,92.381,46.888,57.809,23.384,4.027
ZNF615,80.279,92.966,339.445,386.878,153.004,59.192,123.504,38.955,10.898
RNU6-1307P,0,0,0,0,0,0,0,0,0
TFAP2E,4,7,31,32,14,7,8,5,2
AC109588.1,7,11,44.064,87.076,14.624,17,30.138,11,2.337
UQCRB,498.802,337.246,1396.229,1705.52,543,235.218,450.058,109.605,78.597
RPL34P20,3,3,4,6,0,2,2,1,0
MLXIPL,27.88,58.658,190.076,299.591,100.583,49.645,88.518,18.695,10.806
MYL10,14.871,18,36.629,73.499,24.769,6.025,31.793,3.063,1.654
ASAP1,799,554,2360.144,4663.272,1051.874,163.001,1374.064,158.001,72
AC013417.1,0,1,1,7,2,3,4,0,2
FAM83A,8.114,21.276,100.717,191.672,70.524,52.315,78.448,19.958,5.053
SLC3A1,120.89,161.652,369.301,599.127,197.072,91.516,228.115,33.613,12.183
RPL36AP48,1,0,24.074,22.039,12.083,4,9.103,2,0
IGKV2OR2-2,2,0,0,10.137,2.067,0,3,0,3
SMIM11P1,0,0,1,0,0,0,1,0,0
AC226118.1,0,3,18,59,28,26,28,9,1
TCEA2,12,18,24.999,120,28,25.001,31.999,11,4
AC055717.1,54.631,93.545,271.335,222.226,112.414,22.855,94.628,15.178,7.527
SLC39A9,316,205,835.676,1061.001,371.001,107,323,44,25
TMEM57,125,111,313.001,300,85.001,52,76.001,22,11
AL139158.1,0,0,2,9,3,8,6,4,0
SLC6A3,0,3,3,73,19,19,35,10,3
RNF216-IT1,2,7,20,16,15,4,6,0,1
AC005102.1,0,1.009,1,5,2,1.403,1,0,0
AC090625.1,0,0,0,7,0,4,1,0,0
SLC35E2,204.443,256.935,366.401,221.167,133,39.222,76.09,12.096,10.13
AC100788.2,37.481,35.127,459.749,405.757,203.36,8.881,92.872,5.365,1.006
ISPD-AS1,1,8.387,14.386,105.41,31.561,50.173,35.4,12.369,3
NDUFB5,289.162,256.453,736.627,1078.305,358.749,136.546,287.561,50.169,27.478
ATP13A5,9,18.107,36.288,198.739,44.521,66,69.201,17,9
LYPD3,18.999,14,21,38,9,5,21,3,0
AC007029.1,2,0,1,2,1,1,1,0,0
CYCSP32,0,0,1,10.107,4,8,5,2,2
GPR137,89.609,83.613,126.11,161.021,75.645,17.064,39.532,25,4
CENPVL2,0,0,0,17.533,3,0,10,0,2
RN7SKP30,11,20,46,19,10,4,5,1,1
HULC,1,2,28,51,17,23,30,10,2
AL512343.1,0,0,0,1,0,0,1,1,0
AC010197.1,0,0,3.613,32.728,9.68,4.783,14.287,5,0
ERVK13-1,621.342,658.579,1799.521,1832.977,757.032,251.746,655.777,98.644,43.547
AC131649.1,17.078,33.635,217.01,352.331,113.787,98.871,119.849,36.147,8.058
TM2D3,709.866,662.328,1698.162,1891.64,685.322,210.716,595.58,91.886,57.062
TMPRSS11CP,0,0,8,42,9,6,7,0,0
RPL17P1,0,2,1,54,13,39,24,19,2
OR13Z2P,0,0,2,16,9,1,5,0,0
OR2L13,1,8,11,55,25,10,26,4,1
TIGD3,5,14,36,35,9,10,18,7,0
AL358335.1,0,1,3,24,5,18,6,0,0
MIR523,0,0,0,3.933,0,1,1,0,0
CEP95,180.464,152.05,521.571,595.409,193.585,84.593,226.516,54.181,26.001
AL160162.1,0,4,2,13,3,6,2,4,0
C12orf73,36,26,85,86.264,31.445,31,41.831,8,7
RRM2,210.496,225.124,397.517,322.417,106.795,87.186,154.002,30.649,5.866
STOML2,46,35,158.999,94,36,12,38,2,3
TPI1P3,0,0,1,15.122,2,1,6,0,0
MTCO3P10,0,3,4.704,50.437,11.843,8.755,9.686,3,1
GLYATL2,3.037,2,11.045,66.12,27.152,11,28.391,9.015,3
MIR548XHG,19.618,7.804,105.929,286.993,94.537,49.178,92.572,24.33,7.442
ITPRIPL1,32.535,57.546,194.448,309.331,93.516,109.337,125.244,47.24,11.411
MIR203A,0,0,0,0,0,0,0,0,0
NCR2,0,0,1,23,5,6,6,1,5
AC092647.5,0,0,2.169,0,1.075,4.646,0,0,0
AC091271.1,28.28,24.764,83.89,87.004,40.454,8.314,21.427,6.409,3
DHRSX,291.569,291.477,710.242,567.524,210.464,34.573,218.012,27.509,15.526
AP000317.1,7.788,19.312,39.622,107.943,36.78,18.955,30.887,19.175,3.795
AIMP1,23,26,64.6,161.14,49.424,32,61.532,11,1
AC004233.2,0,7,24,17,7,1,18.349,2,0
HADHA,229.784,170.515,473.716,844.954,202.79,70.267,231.085,31.991,16
AL645941.3,3,0,0,0,14.433,0,0,0,0
AKR1B1P3,0,0,0,10,2,2,4,3,0
HOXC10,0,9,10,38,12,4,23.001,10,1
OR51A2,0,0,0,17.998,2.496,1.063,4.726,0,2.26
NFATC2IP,361.548,676.022,1396.171,819.084,399.157,113.042,316.584,75.289,39.337
RDH11,155.409,132.163,324.604,493.156,144.451,94.499,184.655,59.565,24.799
LY6E,80.092,68.316,113.85,386.578,71.051,14.304,53.743,13.757,4
AL669918.1,0,0,0,0,54.529,7.002,0,0,0
AC007551.1,0,2,6,13,8,4,8,1,0
LINC00388,0,1,4.518,22.864,2.258,5.56,9,0,2
FAM71F2,196.681,355.66,1124.376,1604.608,558.205,268.465,449.069,100.247,49.56
CYB5AP5,0,0,1,11,4,4,1,1,0
AC091564.2,3,0,0,0,0,1,0,3,0
TXK,192.22,168.459,403.288,483.331,149.234,67.081,260.926,50.761,38.69
KRT73-AS1,54.068,53.413,139.046,226.215,65.644,39.128,81.273,26.293,6.56
AK6P1,0,1,0,17,3,15,8,3,1
AC239868.3,48,42,156,162,41,15,35,1,5
CYTIP,1478,834,2937,2796.967,818.579,128.998,872,103,53.999
AC003985.2,0,2,8,20,14,13,13,7,1
MYLK3,194.428,587.676,2052.748,3900.484,1283.611,1623.939,1490.806,532.877,155.096
ZSCAN5DP,0,1.138,2.257,32.947,4.154,7.11,8.067,6.93,2
GRM5,0,9.73,21.854,136.309,25.829,55.764,27.893,26.44,6.413
ASH1L,795.624,550.601,1476.696,2440.919,644.833,206.46,869.743,131.808,54.677
AC135068.1,1,0,8.781,26.538,0,5.779,8.633,1.526,0
AL139230.1,0,1,3,19,5,5,5,0,1
SORCS1,2,11,56.16,325.417,87,104,135.999,37,9
AL358333.2,1,0,32,40,13,1,19,0,0
MINK1,197,193,185.001,393.788,157.307,55.001,160,40,10
CCDC9,162.862,146.25,404.353,479.311,148.582,47.74,143.588,44.811,17.956
AC110288.1,0,3,16,60,20,8,24,3,0
AC010331.1,8,5,13,9,10,0,6,1,1
TRIM44,231.262,155.343,478.383,1198.923,318.014,250.346,489.379,98.977,36.249
ELMO2,322.979,153.173,437.387,1295.654,276.931,69.827,261.812,24.01,3
CHMP5,212,90.731,306.546,788.064,126.668,58.758,102.592,24.999,11
AC099568.1,0,4,3,8,1,1,7,0,2
HNRNPA3P6,146.566,130.853,494.813,290.909,186.971,11.513,163.993,40.301,16.839
AC027237.4,0,2,3,11.556,10.37,4,5.144,3,0
MIR20A,0,0,0,0,0,0,0,0,0
AL591178.1,17.543,23,28.994,42.545,24.473,6,7,0,5
CERS2,499.001,512,1050.141,954.005,331.719,63,250.46,70.001,19
GOLGA8EP,2.707,1.366,18.59,105.034,44.342,61.574,60.503,37.119,25.719
LINC00534,11.65,9.254,48.317,115.382,25.293,7.099,31.371,6,1
TAS2R10,1,6,3,34,13,21,15,8,4
ADGRF2,38.388,105.095,118.809,325.337,131.02,264.229,127.083,82.884,24.019
FUCA1P1,0,1,2,27,6,4,9,1,0
SLX1A-SULT1A3,76.009,14.955,85.133,120.728,45.126,18.029,47.772,10.715,0
ADH1A,0,1.044,6,58.943,20,25.757,26.464,7.168,1
PELI3,17,19,27.156,46,29.999,19.999,23.361,4,3
GNPTG,147.867,233.621,416.633,537.66,234.981,64.98,159.556,47.384,16.473
NOMO2,173.407,137.745,333.548,365.738,106.054,43.537,152.602,8.211,4.697
LINC01363,8.004,18.044,87.036,202.142,40.189,43.608,51.007,7,4.001
LAT,119.209,208.176,464.665,403.961,161.166,108.171,183.622,38.591,17.171
MFSD10,67,48.999,54,71.999,24.001,13,18,6,5
AL358790.1,47.777,45.915,77.458,135.271,21.841,11.368,42.795,1.112,0
AC004223.1,0,0,79.315,25,13.184,1,7,2,0
AC026462.4,0,1,7,54,11,15,20,9,9
LINC01400,0,6.67,1.124,25.231,3.053,4.797,5.167,3.32,0
AP000766.1,166.045,221.156,422.422,348.47,133.778,45.826,143.389,22.48,16.226
ZNF526,54.079,50.606,349.565,390.452,113.056,57.636,129.995,27.062,14.936
RPS3AP24,0,0,1,8,7,10,7,2,0
AC022784.6,36.897,57.744,167.908,654.278,186.145,193.694,203.97,96.911,20.831
KCNA2,25.195,49.215,126.718,474.142,140.535,135.09,189.954,52.785,24.17
AP000435.1,0,0,0,5,1,1,3,0,1
CYP4F36P,0,0,0,1,2,0,5,0,0
AC007952.9,8,2,26.943,54.67,11.995,15,27.768,6,1
DDX11L2,12.119,10.858,43.782,97.292,26.245,1.339,12.601,1.243,0
RNU2-6P,3835.186,2463.969,2363.715,242.085,455.909,824.61,59.278,82.95,14.152
NLGN3,53,70.001,199.296,150.79,75.113,8.017,61.025,14,4
KIR3DP1,0,0,1,0,2.934,0,8.074,4.382,0
MTFR2,8,8,30,83.358,29,30.884,34,10,5
AL121809.1,0,2,6,18,13,17,3,9,2
AL390778.2,0,2,1,3,1,2,5,1,0
DUSP3,270.793,228.686,440.582,788.797,236.543,42.073,173.504,34.351,16.225
AL031963.3,9,8,32.376,22.952,14.79,12,6.476,1,0
HNRNPA1P66,0,5,2,26.067,8,15,15.269,6,1
RPL36AP35,0,2,4,7,5,2,9,1,1
ZMYM5,183.434,134.478,355.199,610.101,149.624,85.79,135.399,48.19,19.216
AC010530.1,13.593,19.155,72.764,102.561,46.626,19.087,42.523,11.264,6.331
KARSP3,2,5,82.879,52.833,13.21,18,14,4,1
KIAA1683,71.755,89.183,257.842,334.485,113.525,44.878,119.651,35.129,6.575
